Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
yeast,logistic_regression,focal_loss,0.46860986547085204,0.4262629172580518,0.5470974887433314,0.4461176302591559,0.843364811455585,0.5742838274502855
yeast,logistic_regression,adaptive_ce,0.5672645739910314,0.5343170024420025,0.568658807387499,0.5457178065271048,0.8543009741758757,0.6006305451652049
yeast,logistic_regression,power_scaled_adaptive_ce,0.5695067264573991,0.5346159154854807,0.5693782318479306,0.5461994118782754,0.8558595245871979,0.5973871802876652
page_blocks,logistic_regression,standard_ce,0.9652862362971986,0.8719564690905702,0.7522951012503251,0.8024826859883467,0.9800801930749763,0.8562612765141578
page_blocks,logistic_regression,weighted_ce_inv,0.9037758830694276,0.6163432215317888,0.9129412875681531,0.7056264631841407,0.9753219522213493,0.8584635444526331
page_blocks,logistic_regression,weighted_ce_inv_sqrt,0.9531059683313033,0.7651083265991512,0.8747936060622628,0.8134231436029997,0.9805697683626503,0.864225131314204
page_blocks,logistic_regression,class_balanced_ce,0.9622411693057247,0.834210489014883,0.7819846405667301,0.8061824698327618,0.9781899381010744,0.8728496497300837
page_blocks,logistic_regression,focal_loss,0.9037758830694276,0.6152479891817241,0.9054032203285933,0.702382149033546,0.974112193885013,0.8497861360365524
page_blocks,logistic_regression,adaptive_ce,0.9604141291108405,0.8112947056513355,0.7947877578474594,0.8027248099760633,0.9748864722778047,0.8428193350201804
page_blocks,logistic_regression,power_scaled_adaptive_ce,0.9604141291108405,0.8102004258136981,0.7928097358694374,0.8012232119253839,0.9759727744725695,0.8374479740036543
