Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
secom,xgboost_gblinear,power_scaled_adaptive_ce,0.9002123142250531,0.16666666666666666,0.12903225806451613,0.14545454545454545,0.6939882697947214,0.1378692545985305
credit_card_default,xgboost_gblinear,standard_ce,0.8088888888888889,0.698389458,0.2395781014565545,0.3567688855646971,0.7163041218655587,0.498245383
credit_card_default,xgboost_gblinear,weighted_ce_inv,0.7784444444444445,0.4992526158445441,0.5032646911099949,0.5012506253126563,0.7045426060875022,0.4943104753592832
credit_card_default,xgboost_gblinear,weighted_ce_inv_sqrt,0.8061111111111111,0.5862552594670407,0.4198895027624309,0.4893181153058238,0.7081705024586671,0.4858879309493944
credit_card_default,xgboost_gblinear,class_balanced_ce,0.7936666666666666,0.5410539215686274,0.4434957307885485,0.4874413469500414,0.6870145573757899,0.46902147208917444
credit_card_default,xgboost_gblinear,focal_loss,0.3844444444444444,0.2478328833309649,0.8759417378201909,0.38635356668143556,0.6935183572186983,0.4621317615518775
credit_card_default,xgboost_gblinear,adaptive_ce,0.801,0.5656167979002624,0.43294826720241086,0.4904694167852063,0.6832724718789123,0.4732172246603574
credit_card_default,xgboost_gblinear,power_scaled_adaptive_ce,0.7992222222222222,0.5598179453836151,0.4324460070316424,0.4879569283083026,0.6902498323351072,0.4741179351423143
glass,xgboost_gblinear,standard_ce,0.7230769230769231,0.6733333333333333,0.7356797791580401,0.6996396451188639,0.9154695286532594,0.7403683160793211
glass,xgboost_gblinear,weighted_ce_inv,0.5846153846153846,0.6230158730158729,0.7466528640441684,0.6401550578219385,0.919202145,0.7616032474501061
glass,xgboost_gblinear,weighted_ce_inv_sqrt,0.6923076923076923,0.687235803,0.7726708074534162,0.7207346531703936,0.9189506650691784,0.7359070394356008
glass,xgboost_gblinear,class_balanced_ce,0.6461538461538462,0.6484654234654235,0.7509316770186336,0.6781420605778011,0.9117535908068867,0.7234254079916521
glass,xgboost_gblinear,focal_loss,0.6461538461538462,0.6712962962962963,0.790453186,0.6957152641363168,0.9151964714938067,0.7077576841973808
glass,xgboost_gblinear,adaptive_ce,0.7230769230769231,0.6978070175438597,0.7617667356797792,0.7201963241436925,0.9177545423513166,0.7396368385374595
